trial,policy,n_robots,n_tasks,total_distance,makespan
193,auction,5,21,57.365282756144396,18.074185268610012
194,fifo,3,22,110.68189673193848,38.03851881171797
194,auction,3,22,49.000586312105156,18.72890722536168
195,fifo,6,11,73.43346605875368,19.703270462121644
195,auction,6,11,38.253439299385654,9.858276816563743
196,fifo,3,10,42.60624160540668,15.406143538697926
196,auction,3,10,26.644042994052626,10.675085441628873
197,fifo,3,6,26.25331977876764,12.808417824469084
197,auction,3,6,18.30909805936664,8.624963380408625
198,fifo,3,23,118.30032846707127,40.870017549182606
198,auction,3,23,56.57577104248696,21.554366634125074
199,fifo,5,24,91.28908168511386,21.894410119989058
199,auction,5,24,45.18709094612455,10.785114040751502
